Date,Time,"Virtual Memory Commited [MB]","Virtual Memory Available [MB]","Virtual Memory Load [%]","Physical Memory Used [MB]","Physical Memory Available [MB]","Physical Memory Load [%]","Page File Usage [%]","Core #0 VID [V]","Core #1 VID [V]","Core #2 VID [V]","Core #3 VID [V]","NB VID [V]","Core #0 Clock [MHz]","Core #1 Clock [MHz]","Core #2 Clock [MHz]","Core #3 Clock [MHz]","Bus Clock [MHz]","NB Clock [MHz]","Core #0 Usage [%]","Core #1 Usage [%]","Core #2 Usage [%]","Core #3 Usage [%]","Max CPU/Thread Usage [%]","Total CPU Usage [%]","Core #0 Ratio [x]","Core #1 Ratio [x]","Core #2 Ratio [x]","Core #3 Ratio [x]","NB Ratio [x]","Memory Clock [MHz]","Memory Clock Ratio [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trc [T]","CPU (Tctl) [°C]","CPU Package [°C]","Core Voltage [V]","NB Voltage [V]","Core Current [A]","NB Current [A]","Core Power [W]","NB Power [W]","CPU Total Power [W]","T1 [°C]","Auxiliary [°C]","Motherboard [°C]","VCC3V [V]","Vcore [V]","VIN2 [V]","VIN3 [V]","VIN4 [V]","VIN5 [V]","VIN6 [V]","3VSB [V]","VBAT [V]","Fan1 [RPM]","Chassis Intrusion [Yes/No]","Drive Temperature [°C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","GPU Temperature [°C]","GPU Temperature (HW) [°C]","GPU Core Voltage [V]","GPU Fan [RPM]","GPU Power [W]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU Video Clock [MHz]","GPU Core Load [%]","GPU Memory Controller Load [%]","GPU Video Engine Load [%]","GPU Bus Load [%]","GPU Memory Usage [%]","GPU D3D Usage [%]","GPU Fan [%]","Total GPU Power (normalized) [% of TDP] [%]","Total GPU Power [% of TDP] [%]","GPU Memory Allocated [MB]","GPU D3D Memory Dedicated [MB]","GPU D3D Memory Dynamic [MB]","PCIe Link Speed [GT/s]","Total DL [MB]","Total UP [MB]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total Errors []",
13.2.2017,18:40:18.080,1305,17598,6.9,1302,6850,15.9,1.2,0.887,0.887,0.887,0.887,1.200,1402.0,1402.0,1402.0,1402.0,100.1,1802.6,9.0,4.7,0.0,0.0,9.0,3.4,14.0,14.0,14.0,14.0,18.0,934.7,9.33,10,11,10,30,42,13.9,62.9,1.438,1.169,27.647,3.765,39.743,4.400,44.143,36,33,27,3.360,0.904,1.496,0.968,1.104,1.096,1.120,3.376,3.312,1033,No,33,No,No,3.5,0.1,3.6,0.440,0.131,29954,3632,30,30,0.937,1762,0.779,135.0,202.5,405.0,0.0,2.0,0.0,0.0,2.8,0.1,39.0,1.7,1.7,114,56,15,2.5,0,0,0,0,0.000,0.000,0,
13.2.2017,18:40:18.377,1304,17599,6.9,1303,6848,15.9,1.2,0.887,0.887,0.887,0.887,1.200,1402.0,1402.0,1402.0,1402.0,100.1,1802.6,23.8,18.1,22.7,9.5,23.8,18.5,14.0,14.0,14.0,14.0,18.0,934.7,9.33,10,11,10,30,42,13.4,62.4,0.900,1.169,6.471,3.765,5.824,4.400,10.224,36,33,27,3.376,1.160,1.496,0.960,1.104,1.096,1.120,3.376,3.328,1032,No,33,No,No,68.2,0.3,68.5,2.354,0.224,29955,3632,30,30,0.937,1759,0.800,135.0,202.5,405.0,1.0,4.0,0.0,0.0,2.8,1.2,39.0,1.7,1.7,116,58,15,2.5,0,0,0,0,0.000,0.000,0,
13.2.2017,18:40:18.705,1303,17600,6.8,1303,6849,15.9,1.2,0.887,0.887,0.887,0.887,1.200,1402.0,1402.0,1402.0,1402.0,100.1,1802.6,9.0,13.6,0.0,0.0,13.6,5.7,14.0,14.0,14.0,14.0,18.0,934.7,9.33,10,11,10,30,42,12.8,61.8,0.900,1.175,6.471,3.765,5.824,4.424,10.247,36,33,27,3.360,0.920,1.504,0.968,1.104,1.096,1.120,3.376,3.312,1030,No,33,No,No,0.0,0.0,0.0,0.000,0.000,29955,3632,30,30,0.937,1764,0.800,135.0,202.5,405.0,0.0,2.0,0.0,0.0,2.8,0.9,39.0,1.7,1.7,114,56,15,2.5,0,0,0,0,0.000,0.000,0,
13.2.2017,18:40:19.064,1303,17600,6.8,1303,6849,15.9,1.2,0.887,0.887,0.887,0.887,1.200,1402.0,1402.0,1402.0,1402.0,100.1,1802.6,13.0,4.3,0.0,0.0,13.0,4.3,14.0,14.0,14.0,14.0,18.0,934.7,9.33,10,11,10,30,42,12.3,61.3,0.900,1.169,6.471,3.765,5.824,4.400,10.224,36,33,27,3.376,0.928,1.496,0.968,1.104,1.096,1.120,3.376,3.312,1030,No,33,No,No,2.0,0.2,2.1,0.424,0.056,29955,3632,30,30,0.937,1759,0.845,135.0,202.5,405.0,0.0,2.0,0.0,0.0,2.8,0.7,39.0,1.8,1.8,114,56,15,2.5,0,0,0,0,6.828,0.814,0,
13.2.2017,18:40:19.424,1303,17601,6.8,1302,6849,15.9,1.2,0.887,0.887,0.887,0.887,1.200,1402.0,1402.0,1402.0,1402.0,100.1,1802.6,9.0,19.0,0.0,0.0,19.0,7.0,14.0,14.0,14.0,14.0,18.0,934.7,9.33,10,11,10,30,42,11.6,60.6,0.900,1.175,6.471,3.765,5.824,4.424,10.247,36,33,27,3.376,0.912,1.496,0.968,1.104,1.096,1.120,3.376,3.312,1030,No,33,No,No,0.0,0.0,0.0,0.000,0.000,29955,3632,30,30,0.937,1759,0.845,135.0,202.5,405.0,0.0,2.0,0.0,0.0,2.8,0.7,39.0,1.8,1.8,114,56,15,2.5,0,0,0,0,0.000,0.000,0,
13.2.2017,18:40:19.783,1303,17601,6.8,1302,6849,15.9,1.2,0.887,0.887,0.887,0.887,1.200,1397.4,1397.4,1397.4,1397.4,99.8,1796.7,30.4,16.6,0.0,0.0,30.4,11.8,14.0,14.0,14.0,14.0,18.0,931.6,9.33,10,11,10,30,42,11.1,60.1,0.900,1.169,7.647,3.765,6.882,4.400,11.282,36,33,27,3.376,0.936,1.496,0.968,1.096,1.096,1.120,3.376,3.312,1030,No,33,No,No,0.0,0.0,0.0,0.000,0.000,29955,3632,30,30,0.937,1764,0.834,135.0,202.5,405.0,0.0,2.0,0.0,0.0,2.8,0.7,39.0,1.8,1.8,114,56,15,2.5,0,0,0,0,0.000,0.000,0,
13.2.2017,18:40:20.111,1308,17596,6.9,1293,6858,15.8,1.2,1.050,1.050,0.887,0.887,1.200,2395.6,2395.6,1397.4,1397.4,99.8,1796.7,45.4,13.6,0.0,40.9,45.4,25.0,24.0,24.0,14.0,14.0,18.0,931.6,9.33,10,11,10,30,42,10.6,59.6,0.900,1.169,6.471,3.765,5.824,4.400,10.224,36,32,27,3.376,0.976,1.496,0.968,1.096,1.096,1.120,3.376,3.328,1030,No,33,No,No,0.0,0.0,0.0,0.000,0.000,29955,3632,30,30,0.937,1767,0.982,135.0,202.5,405.0,0.0,2.0,0.0,0.0,2.8,0.7,39.0,2.1,2.1,114,56,15,2.5,0,0,0,0,0.000,0.000,0,
13.2.2017,18:40:20.470,1308,17596,6.9,1294,6857,15.8,1.2,1.400,1.400,0.887,0.887,1.200,3793.0,3793.0,1397.4,1397.4,99.8,1796.7,13.6,9.0,8.6,0.0,13.6,7.8,38.0,38.0,14.0,14.0,18.0,931.6,9.33,10,11,10,30,42,10.0,59.0,0.900,1.169,6.471,3.765,5.824,4.400,10.224,36,32,27,3.360,1.024,1.496,0.968,1.104,1.096,1.120,3.376,3.312,1029,No,33,No,No,33.7,0.3,34.0,2.003,0.285,29956,3632,30,30,0.937,1763,0.982,135.0,202.5,405.0,4.0,4.0,0.0,0.0,2.8,2.0,39.0,2.1,2.1,114,56,15,2.5,0,0,0,0,0.000,0.000,0,
13.2.2017,18:40:20.799,1312,17592,6.9,1308,6843,16.0,1.2,1.400,1.400,1.400,1.400,1.200,3793.0,3793.0,3793.0,3793.0,99.8,1796.7,17.3,30.4,4.3,9.0,30.4,15.3,38.0,38.0,38.0,38.0,18.0,931.6,9.33,10,11,10,30,42,9.5,58.5,1.369,1.169,37.059,3.765,50.724,4.400,55.124,35,32,27,3.376,1.232,1.496,0.968,1.096,1.104,1.120,3.360,3.328,1030,No,33,No,No,68.6,0.0,68.6,11.066,0.000,29960,3632,30,30,0.937,1766,0.827,135.0,202.5,405.0,2.0,3.0,0.0,0.0,2.8,0.9,39.0,1.8,1.8,114,56,15,2.5,0,0,0,0,0.000,0.000,0,
13.2.2017,18:40:21.166,1349,17555,7.1,1334,6818,16.3,1.2,1.400,1.400,1.400,0.887,1.200,3793.0,3793.0,3793.0,1397.4,99.8,1796.7,50.0,18.1,31.8,30.4,50.0,32.6,38.0,38.0,38.0,14.0,18.0,931.6,9.33,10,11,10,30,42,9.6,58.6,0.900,1.169,6.471,3.765,5.824,4.400,10.224,36,32,27,3.360,1.384,1.496,0.968,1.096,1.096,1.120,3.360,3.328,1030,No,33,No,No,13.7,0.0,13.7,0.890,0.000,29960,3632,30,30,1.000,1771,1.611,1058.4,1350.0,952.9,0.0,0.0,0.0,0.0,3.1,2.2,39.0,3.5,3.5,127,69,16,5.0,0,0,0,0,0.000,0.000,0,
