Date,Time,"Virtual Memory Commited [MB]","Virtual Memory Available [MB]","Virtual Memory Load [%]","Physical Memory Used [MB]","Physical Memory Available [MB]","Physical Memory Load [%]","Page File Usage [%]","Core #0 VID [V]","Core #1 VID [V]","Core #2 VID [V]","Core #3 VID [V]","Core #4 VID [V]","Core #5 VID [V]","Core #0 Clock [MHz]","Core #1 Clock [MHz]","Core #2 Clock [MHz]","Core #3 Clock [MHz]","Core #4 Clock [MHz]","Core #5 Clock [MHz]","Bus Clock [MHz]","QPI Clock [MHz]","Core #0 Thread #0 Usage [%]","Core #0 Thread #1 Usage [%]","Core #1 Thread #0 Usage [%]","Core #1 Thread #1 Usage [%]","Core #2 Thread #0 Usage [%]","Core #2 Thread #1 Usage [%]","Core #3 Thread #0 Usage [%]","Core #3 Thread #1 Usage [%]","Core #4 Thread #0 Usage [%]","Core #4 Thread #1 Usage [%]","Core #5 Thread #0 Usage [%]","Core #5 Thread #1 Usage [%]","Max CPU/Thread Usage [%]","Total CPU Usage [%]","On-Demand Clock Modulation [%]","Core #0 Ratio [x]","Core #1 Ratio [x]","Core #2 Ratio [x]","Core #3 Ratio [x]","Core #4 Ratio [x]","Core #5 Ratio [x]","QPI Ratio [x]","Core #0 [°C]","Core #1 [°C]","Core #2 [°C]","Core #3 [°C]","Core #4 [°C]","Core #5 [°C]","Core #0 Distance to TjMAX [°C]","Core #1 Distance to TjMAX [°C]","Core #2 Distance to TjMAX [°C]","Core #3 Distance to TjMAX [°C]","Core #4 Distance to TjMAX [°C]","Core #5 Distance to TjMAX [°C]","Core Max [°C]","Core #0 Thermal Throttling [Yes/No]","Core #1 Thermal Throttling [Yes/No]","Core #2 Thermal Throttling [Yes/No]","Core #3 Thermal Throttling [Yes/No]","Core #4 Thermal Throttling [Yes/No]","Core #5 Thermal Throttling [Yes/No]","Core #0 Critical Temperature [Yes/No]","Core #1 Critical Temperature [Yes/No]","Core #2 Critical Temperature [Yes/No]","Core #3 Critical Temperature [Yes/No]","Core #4 Critical Temperature [Yes/No]","Core #5 Critical Temperature [Yes/No]","Core #0 Power Limit Exceeded [Yes/No]","Core #1 Power Limit Exceeded [Yes/No]","Core #2 Power Limit Exceeded [Yes/No]","Core #3 Power Limit Exceeded [Yes/No]","Core #4 Power Limit Exceeded [Yes/No]","Core #5 Power Limit Exceeded [Yes/No]","Package/Ring Thermal Throttling [Yes/No]","Package/Ring Critical Temperature [Yes/No]","Package/Ring Power Limit Exceeded [Yes/No]","Memory Ambient [°C]","CPU Package [°C]","PP0 [°C]","CPU Package Power [W]","IA Cores Power [W]","Core #0 Thread 0 C0 Residency [%]","Core #0 Thread 1 C0 Residency [%]","Core #1 Thread 0 C0 Residency [%]","Core #1 Thread 1 C0 Residency [%]","Core #2 Thread 0 C0 Residency [%]","Core #2 Thread 1 C0 Residency [%]","Core #3 Thread 0 C0 Residency [%]","Core #3 Thread 1 C0 Residency [%]","Core #4 Thread 0 C0 Residency [%]","Core #4 Thread 1 C0 Residency [%]","Core #5 Thread 0 C0 Residency [%]","Core #5 Thread 1 C0 Residency [%]","Memory Clock [MHz]","Memory Clock Ratio [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trfc [T]","Command Rate [T]","Motherboard [°C]","Auxiliary [°C]","SYSTIN1 [°C]","SYSTIN2 [°C]","SYSTIN3 [°C]","CPU [°C]","Vcore [V]","+12V [V]","AVCC [V]","+3.3V [V]","+5V [V]","VIN6 [V]","3VSB [V]","VBAT [V]","CPU [RPM]","Chassis Intrusion [Yes/No]","Drive Airflow Temperature [°C]","Drive Remaining Life [%]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Total Host Writes [GB]","Drive Temperature [°C]","Drive Remaining Life [%]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Total Host Writes [GB]","Total Host Reads [GB]","Drive Temperature [°C]","Drive Airflow Temperature [°C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","GPU Temperature [°C]","GPU Temperature (HW) [°C]","GPU Core Voltage [V]","GPU Fan [RPM]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU Video Clock [MHz]","GPU Core Load [%]","GPU Memory Controller Load [%]","GPU Video Engine Load [%]","GPU Bus Load [%]","GPU Memory Usage [%]","GPU Fan [%]","Total GPU Power (normalized) [% of TDP] [%]","Total GPU Power [% of TDP] [%]","GPU Memory Allocated [MB]","PCIe Link Speed [GT/s]","GPU Voltage [V]","GPU Current [A]","GPU VRM Power Out (POUT) [W]","GPU Temperature [°C]","GPU Temperature (HW) [°C]","GPU Core Voltage [V]","GPU Fan [RPM]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU Video Clock [MHz]","GPU Core Load [%]","GPU Memory Controller Load [%]","GPU Video Engine Load [%]","GPU Bus Load [%]","GPU Memory Usage [%]","GPU D3D Usage [%]","GPU Fan [%]","Total GPU Power (normalized) [% of TDP] [%]","Total GPU Power [% of TDP] [%]","GPU Memory Allocated [MB]","GPU D3D Memory Dedicated [MB]","GPU D3D Memory Dynamic [MB]","PCIe Link Speed [GT/s]","GPU Voltage [V]","GPU Current [A]","GPU VRM Power Out (POUT) [W]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total Errors []",
24.1.2017,22:7:33.088,11281,21380,34.5,8618,7713,52.7,2.6,1.331,1.331,1.331,1.331,1.331,1.336,3911.7,3911.7,3911.7,3911.7,3911.7,3911.7,100.3,3200.0,7.6,3.8,0.0,80.7,69.2,0.0,26.9,0.0,38.4,0.0,84.6,0.0,84.6,25.9,100.0,39,39,39,39,39,39,32,57,61,63,60,59,62,34,30,28,31,32,29,63,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,50,67,67,113.494,97.140,18.0,18.0,82.1,83.2,72.9,74.0,27.2,27.3,47.7,48.1,76.4,77.5,668.7,10.00,9,9,9,24,107,1,39.0,54.5,39.0,39.0,39.0,55.0,1.296,12.192,3.344,3.344,4.960,0.536,3.376,3.312,2156,No,37,99.0,No,No,1362,32,99.0,No,No,12298,20581,36,36,No,No,4.2,1.6,5.8,4.109,1.419,9314,7653,0.0,0.0,0.0,0.000,0.000,6116,0,0.0,0.0,0.0,0.000,0.000,126,6,53,52,0.987,1560,324.0,162.0,405.0,1.0,0.0,0.0,1.0,81.5,38.0,27.5,5.9,1670,2.5,1.025,1.092,1.117,54,53,0.987,1560,324.0,162.0,405.0,2.0,4.0,0.0,1.0,81.5,2.3,39.0,14.5,8.5,1670,1577,261,2.5,1.025,1.084,1.111,1550,55,0.000,0.474,0,
24.1.2017,22:7:33.491,11280,21380,34.5,8617,7713,52.7,2.6,1.336,1.336,1.336,1.336,1.336,1.336,3911.5,3911.5,3911.5,3911.5,3911.5,3911.5,100.3,3200.0,64.2,17.8,25.0,57.1,89.2,0.0,42.8,0.0,46.4,0.0,60.7,0.0,89.2,33.6,100.0,39,39,39,39,39,39,32,62,64,68,61,62,59,29,27,23,30,29,32,68,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,50,69,69,121.406,104.986,79.5,80.3,75.5,74.4,92.6,92.1,41.6,41.5,54.6,54.1,58.7,58.2,668.6,10.00,9,9,9,24,107,1,39.0,54.5,39.0,39.0,39.0,56.0,1.296,12.192,3.344,3.328,4.960,0.536,3.376,3.312,2160,No,37,99.0,No,No,1362,32,99.0,No,No,12298,20581,36,36,No,No,0.1,0.1,0.2,0.046,0.250,9314,7653,0.0,0.0,0.0,0.000,0.000,6116,0,0.0,0.0,0.0,0.000,0.000,126,6,53,52,0.987,1530,324.0,162.0,405.0,0.0,0.0,0.0,0.0,81.4,38.0,27.5,5.7,1667,2.5,1.025,1.092,1.117,54,53,0.987,1560,324.0,162.0,405.0,3.0,4.0,0.0,1.0,81.4,2.7,39.0,14.5,8.5,1667,1575,260,2.5,1.025,1.084,1.111,1550,55,1.232,0.154,0,
24.1.2017,22:7:33.889,11282,21378,34.5,8618,7713,52.7,2.6,1.331,1.331,1.331,1.331,1.331,1.331,3911.5,3911.5,3911.5,3911.5,3911.5,3911.5,100.3,3200.0,34.6,11.5,11.5,61.5,88.4,0.0,19.2,0.0,42.3,0.0,61.5,0.0,88.4,27.5,100.0,39,39,39,39,39,39,32,58,66,61,59,61,62,33,25,30,32,30,29,66,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,50,66,66,115.244,98.865,50.4,49.9,70.1,71.3,89.0,88.4,24.4,24.4,53.9,53.8,50.5,50.4,668.6,10.00,9,9,9,24,107,1,39.0,54.5,39.0,39.0,39.0,55.0,1.296,12.192,3.344,3.328,4.960,0.536,3.376,3.312,2160,No,37,99.0,No,No,1362,32,99.0,No,No,12298,20581,36,36,No,No,0.2,0.1,0.3,0.205,0.205,9314,7653,0.0,0.0,0.0,0.000,0.000,6116,0,0.0,0.0,0.0,0.000,0.000,126,6,52,52,0.987,1530,324.0,162.0,405.0,1.0,0.0,0.0,1.0,81.4,38.0,27.5,5.7,1667,2.5,1.025,1.092,1.117,54,53,0.987,1560,324.0,162.0,405.0,2.0,4.0,0.0,0.0,81.4,2.4,39.0,15.7,9.2,1667,1575,260,2.5,1.031,1.084,1.111,1550,55,0.000,0.000,0,
24.1.2017,22:7:34.284,11282,21378,34.5,8617,7713,52.7,2.6,1.331,1.331,1.331,1.331,1.331,1.331,3911.5,3911.5,3911.5,3911.5,3911.5,3911.5,100.3,3200.0,30.7,11.5,11.5,73.0,61.5,0.0,42.3,0.0,38.4,0.0,61.5,0.0,73.0,27.5,100.0,39,39,39,39,39,39,32,62,64,66,60,61,65,29,27,25,31,30,26,66,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,50,65,65,114.056,97.701,43.7,44.0,77.2,77.2,60.0,60.0,45.9,46.3,44.7,44.7,67.3,66.8,668.6,10.00,9,9,9,24,107,1,39.0,54.5,39.0,39.0,39.0,54.0,1.296,12.192,3.344,3.328,4.960,0.536,3.376,3.312,2160,No,37,99.0,No,No,1362,32,99.0,No,No,12298,20581,36,36,No,No,0.0,0.0,0.1,0.040,0.030,9314,7653,0.0,0.0,0.0,0.000,0.000,6116,0,0.0,0.0,0.0,0.000,0.000,126,6,52,52,0.987,1560,324.0,162.0,405.0,2.0,0.0,0.0,1.0,81.4,38.0,27.5,5.7,1667,2.5,1.025,1.092,1.117,53,53,0.987,1530,324.0,162.0,405.0,1.0,3.0,0.0,0.0,81.4,3.0,39.0,15.7,9.2,1667,1575,260,2.5,1.031,1.084,1.111,1550,55,0.000,0.000,0,
24.1.2017,22:7:34.681,11282,21378,34.5,8618,7713,52.7,2.6,1.331,1.331,1.331,1.331,1.331,1.331,3911.5,3911.5,3911.5,3911.5,3911.5,3911.5,100.3,3200.0,12.0,12.0,4.1,60.0,84.0,0.0,40.0,0.0,52.0,0.0,68.0,0.0,84.0,27.7,100.0,39,39,39,39,39,39,32,58,65,63,61,57,64,33,26,28,30,34,27,65,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,50,66,66,113.283,96.909,26.4,26.2,65.4,65.4,77.1,77.2,49.7,50.0,54.4,54.4,58.8,59.3,668.6,10.00,9,9,9,24,107,1,39.0,54.5,39.0,39.0,39.0,54.0,1.296,12.192,3.344,3.328,4.960,0.536,3.376,3.312,2160,No,37,99.0,No,No,1362,32,99.0,No,No,12298,20581,36,36,No,No,0.1,0.0,0.1,0.041,0.000,9314,7653,0.0,0.0,0.0,0.000,0.000,6116,0,0.0,0.0,0.0,0.000,0.000,126,6,52,52,0.987,1560,324.0,162.0,405.0,1.0,0.0,0.0,1.0,81.4,38.0,27.7,6.1,1667,2.5,1.025,1.092,1.117,53,53,0.987,1530,324.0,162.0,405.0,3.0,4.0,0.0,1.0,81.4,2.5,39.0,15.7,9.2,1667,1575,261,2.5,1.031,1.084,1.111,1550,55,0.000,0.000,0,
24.1.2017,22:7:35.081,11282,21378,34.5,8617,7713,52.7,2.6,1.336,1.336,1.336,1.331,1.331,1.331,3911.5,3911.5,3911.5,3911.5,3911.5,3911.5,100.3,3200.0,32.0,8.0,0.0,52.0,84.0,0.0,40.0,0.0,28.0,0.0,76.0,0.0,84.0,26.7,100.0,39,39,39,39,39,39,32,58,63,69,59,62,60,33,28,22,32,29,31,69,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,50,66,66,115.417,99.056,38.5,38.5,65.0,65.0,93.1,93.5,33.3,32.6,27.1,27.2,70.0,69.5,668.6,10.00,9,9,9,24,107,1,39.0,54.5,39.0,39.0,39.0,56.0,1.296,12.192,3.344,3.328,4.960,0.536,3.376,3.312,2238,No,37,99.0,No,No,1362,32,99.0,No,No,12298,20581,36,36,No,No,0.1,0.9,1.0,0.081,0.538,9314,7654,0.0,0.0,0.0,0.000,0.000,6116,0,0.0,0.0,0.0,0.000,0.000,126,6,52,52,0.987,1560,324.0,162.0,405.0,1.0,0.0,0.0,0.0,81.4,38.0,27.7,6.1,1667,2.5,1.025,1.092,1.117,53,53,0.987,1560,324.0,162.0,405.0,1.0,3.0,0.0,1.0,81.4,1.8,39.0,14.8,8.6,1667,1575,261,2.5,1.031,1.084,1.111,1550,55,0.000,0.000,0,
24.1.2017,22:7:35.480,11284,21376,34.5,8618,7713,52.7,2.6,1.331,1.331,1.331,1.331,1.331,1.336,3911.5,3911.5,3911.5,3911.5,3911.5,3911.5,100.3,3200.0,42.3,3.8,0.0,80.7,65.3,0.0,46.1,0.0,23.0,0.0,65.3,0.0,80.7,27.2,100.0,39,39,39,39,39,39,32,62,64,65,57,62,64,29,27,26,34,29,27,65,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,50,68,68,114.256,97.829,51.5,51.5,78.8,78.4,67.9,67.6,42.5,42.5,29.8,29.6,69.5,70.0,668.6,10.00,9,9,9,24,107,1,39.0,54.5,39.0,39.0,39.0,54.0,1.296,12.192,3.344,3.328,4.960,0.536,3.376,3.312,2238,No,37,99.0,No,No,1362,32,99.0,No,No,12298,20581,36,36,No,No,0.0,0.0,0.0,0.040,0.000,9314,7654,0.0,0.0,0.0,0.000,0.000,6116,0,0.0,0.0,0.0,0.000,0.000,126,6,52,52,0.987,1530,324.0,162.0,405.0,1.0,0.0,0.0,0.0,81.4,38.0,27.5,5.8,1667,2.5,1.025,1.092,1.117,53,53,0.987,1560,324.0,162.0,405.0,2.0,3.0,0.0,1.0,81.4,2.2,39.0,14.8,8.6,1667,1575,261,2.5,1.031,1.084,1.111,1550,55,0.000,0.000,0,
24.1.2017,22:7:35.882,11285,21376,34.5,8618,7713,52.7,2.6,1.331,1.331,1.331,1.331,1.331,1.331,3911.5,3911.5,3911.5,3911.5,3911.5,3911.5,100.3,3200.0,26.9,7.6,4.0,69.2,76.9,0.0,26.9,0.0,38.4,0.0,73.0,0.0,76.9,26.9,100.0,39,39,39,39,39,39,32,58,66,60,58,59,63,33,25,31,33,32,28,66,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,50,66,66,113.244,96.891,41.0,42.1,78.2,77.4,66.2,66.2,31.5,31.5,38.0,38.1,70.1,69.6,668.6,10.00,9,9,9,24,107,1,39.0,54.5,39.0,39.0,39.0,54.0,1.296,12.192,3.344,3.328,4.960,0.536,3.376,3.312,2238,No,37,99.0,No,No,1362,32,99.0,No,No,12298,20581,36,36,No,No,0.0,0.0,0.0,0.040,0.000,9314,7654,0.0,0.0,0.0,0.000,0.000,6116,0,0.0,0.0,0.0,0.000,0.000,126,6,52,52,0.987,1530,324.0,162.0,405.0,0.0,0.0,0.0,0.0,81.4,38.0,27.5,5.8,1667,2.5,1.025,1.092,1.117,53,53,0.987,1560,324.0,162.0,405.0,2.0,3.0,0.0,1.0,81.4,1.7,39.0,15.1,8.8,1667,1575,261,2.5,1.031,1.084,1.109,1550,55,0.000,0.000,0,
24.1.2017,22:7:36.275,11283,21377,34.5,8619,7712,52.7,2.6,1.336,1.336,1.336,1.331,1.331,1.331,3911.5,3911.5,3911.5,3911.5,3911.5,3911.5,100.3,3200.0,28.0,0.0,0.0,52.0,88.0,0.0,36.0,0.0,40.0,0.0,76.0,0.0,88.0,26.7,100.0,39,39,39,39,39,39,32,62,62,69,57,62,64,29,29,22,34,29,27,69,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,50,64,64,114.698,98.320,43.9,42.8,64.6,64.9,90.8,90.7,39.9,40.4,48.5,49.0,57.4,57.9,668.6,10.00,9,9,9,24,107,1,39.0,54.5,39.0,39.0,39.0,55.0,1.304,12.192,3.344,3.328,4.960,0.536,3.376,3.312,2238,No,37,99.0,No,No,1362,32,99.0,No,No,12298,20581,36,36,No,No,0.0,0.1,0.1,0.040,0.061,9314,7654,0.0,0.0,0.0,0.000,0.000,6116,0,0.0,0.0,0.0,0.000,0.000,126,6,52,52,0.987,1560,324.0,162.0,405.0,1.0,0.0,0.0,1.0,81.4,38.0,27.5,5.8,1667,2.5,1.025,1.092,1.117,53,53,0.987,1560,324.0,162.0,405.0,2.0,4.0,0.0,1.0,81.4,2.0,38.0,15.1,8.8,1667,1575,261,2.5,1.031,1.084,1.109,1550,55,0.000,0.531,0,
24.1.2017,22:7:36.673,11283,21377,34.5,8618,7712,52.7,2.6,1.331,1.331,1.331,1.331,1.331,1.336,3911.7,3911.7,3911.7,3911.7,3911.7,3911.7,100.3,3200.0,46.1,3.8,0.0,26.9,76.9,0.0,53.8,0.0,34.6,0.0,76.9,0.0,76.9,26.6,100.0,39,39,39,39,39,39,32,61,65,62,59,57,63,30,26,29,32,34,28,65,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,50,67,67,114.504,98.148,50.1,50.7,41.2,42.2,70.5,70.9,55.8,55.3,28.9,28.4,78.1,78.6,668.7,10.00,9,9,9,24,107,1,39.0,54.5,39.0,39.0,39.0,55.0,1.296,12.192,3.344,3.328,4.960,0.536,3.376,3.312,2238,No,37,99.0,No,No,1362,32,99.0,No,No,12298,20581,36,36,No,No,0.1,0.1,0.2,0.041,0.271,9314,7654,0.0,0.0,0.0,0.000,0.000,6116,0,0.0,0.0,0.0,0.000,0.000,126,6,52,51,0.987,1560,324.0,162.0,405.0,1.0,0.0,0.0,1.0,81.4,38.0,27.5,5.8,1667,2.5,1.025,1.092,1.117,53,53,0.987,1560,324.0,162.0,405.0,3.0,4.0,0.0,1.0,81.4,2.3,38.0,15.1,8.8,1667,1575,261,2.5,1.031,1.084,1.109,1550,55,0.000,0.000,0,
