Date,Time,"Virtual Memory Commited [MB]","Virtual Memory Available [MB]","Virtual Memory Load [%]","Physical Memory Used [MB]","Physical Memory Available [MB]","Physical Memory Load [%]","Page File Usage [%]","Core #0 VID [V]","Core #1 VID [V]","Core #2 VID [V]","Core #3 VID [V]","Core #0 Clock [MHz]","Core #1 Clock [MHz]","Core #2 Clock [MHz]","Core #3 Clock [MHz]","Bus Clock [MHz]","Core #0 Usage [%]","Core #1 Usage [%]","Core #2 Usage [%]","Core #3 Usage [%]","Max CPU/Thread Usage [%]","Total CPU Usage [%]","On-Demand Clock Modulation [%]","Core #0 Ratio [x]","Core #1 Ratio [x]","Core #2 Ratio [x]","Core #3 Ratio [x]","Core #0 [°C]","Core #1 [°C]","Core #2 [°C]","Core #3 [°C]","Core #0 Distance to TjMAX [°C]","Core #1 Distance to TjMAX [°C]","Core #2 Distance to TjMAX [°C]","Core #3 Distance to TjMAX [°C]","Core Max [°C]","Core #0 Thermal Throttling [Yes/No]","Core #1 Thermal Throttling [Yes/No]","Core #2 Thermal Throttling [Yes/No]","Core #3 Thermal Throttling [Yes/No]","Core #0 Critical Temperature [Yes/No]","Core #1 Critical Temperature [Yes/No]","Core #2 Critical Temperature [Yes/No]","Core #3 Critical Temperature [Yes/No]","Core #0 Power Limit Exceeded [Yes/No]","Core #1 Power Limit Exceeded [Yes/No]","Core #2 Power Limit Exceeded [Yes/No]","Core #3 Power Limit Exceeded [Yes/No]","Package/Ring Thermal Throttling [Yes/No]","Package/Ring Critical Temperature [Yes/No]","Package/Ring Power Limit Exceeded [Yes/No]","CPU Package [°C]","CPU IA Cores [°C]","CPU GT Cores (Graphics) [°C]","CPU Package Power [W]","IA Cores Power [W]","PL1 Power Limit [W]","PL2 Power Limit [W]","Package C2 Residency [%]","Core #0 Thread 0 C0 Residency [%]","Core #1 Thread 0 C0 Residency [%]","Core #2 Thread 0 C0 Residency [%]","Core #3 Thread 0 C0 Residency [%]","Core #0 C3 Residency [%]","Core #1 C3 Residency [%]","Core #2 C3 Residency [%]","Core #3 C3 Residency [%]","Core #0 C6 Residency [%]","Core #1 C6 Residency [%]","Core #2 C6 Residency [%]","Core #3 C6 Residency [%]","Memory Clock [MHz]","Memory Clock Ratio [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trfc [T]","Command Rate [T]","T1 [°C]","Aux [°C]","Motherboard [°C]","CPU [°C]","VCC3V [V]","Vcore [V]","VIN2 [V]","+5V [V]","+12V [V]","VIN5 [V]","VIN6 [V]","+3.3V [V]","VBAT [V]","CPU [RPM]","Chassis1 [RPM]","Chassis Intrusion [Yes/No]","Drive Temperature [°C]","Drive Airflow Temperature [°C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Drive Temperature [°C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","GPU Temperature [°C]","GPU Temperature (HW) [°C]","GPU Core Voltage [V]","GPU Fan [RPM]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU Video Clock [MHz]","GPU Core Load [%]","GPU Memory Controller Load [%]","GPU Video Engine Load [%]","GPU Bus Load [%]","GPU Memory Usage [%]","GPU D3D Usage [%]","GPU Fan [%]","Total GPU Power (normalized) [% of TDP] [%]","Total GPU Power [% of TDP] [%]","GPU Memory Allocated [MB]","GPU D3D Memory Dedicated [MB]","GPU D3D Memory Dynamic [MB]","PCIe Link Speed [GT/s]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total Errors []",
13.2.2017,15:12:52.597,5003,4863,50.7,4710,3428,57.8,0.0,1.201,1.201,1.206,1.201,3599.9,3599.9,3599.9,3599.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,36,36,36,36,67,69,67,65,38,36,38,40,69,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,68,68,59,49.893,41.691,77.000,96.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,8.00,11,11,11,28,208,1,48,45,25,67,3.328,1.136,0.024,5.129,11.880,0.736,1.040,3.328,3.296,2024,2742,Yes,26,26,No,No,30,No,No,21.4,0.0,21.4,0.352,0.000,57,0,0.4,1.2,1.5,0.507,0.775,2780,184,72,72,1.200,1200,1188.9,1502.3,540.0,99.0,82.0,0.0,1.0,12.5,100.0,42.0,103.9,103.9,255,229,53,8.0,6,1,5.246,1.370,0,
13.2.2017,15:12:54.728,5003,4863,50.7,4698,3440,57.7,0.0,1.196,1.201,1.196,1.201,3599.9,3599.9,3599.9,3599.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,36,36,36,36,66,67,67,66,39,38,38,39,67,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,67,67,59,50.361,42.047,77.000,96.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,8.00,11,11,11,28,208,1,48,45,26,67,3.328,1.136,0.024,5.087,11.792,0.736,1.048,3.328,3.280,2035,2803,Yes,26,26,No,No,30,No,No,32.6,0.0,32.6,4.205,0.001,66,0,0.3,0.0,0.3,0.312,0.032,2780,184,73,73,1.200,1200,1188.9,1502.3,540.0,99.0,81.0,0.0,1.0,12.5,99.5,42.0,104.0,104.0,255,229,53,8.0,6,1,2.463,1.814,0,
13.2.2017,15:12:56.840,5038,4828,51.0,4689,3449,57.6,0.0,1.196,1.201,1.196,1.201,3599.9,3599.9,3599.9,3599.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,36,36,36,36,66,69,67,66,39,36,38,39,69,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,68,68,60,49.754,41.563,77.000,96.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,8.00,11,11,11,28,208,1,48,45,25,67,3.328,1.136,0.024,5.087,11.968,0.736,1.032,3.344,3.296,2029,2803,Yes,26,26,No,No,30,No,No,31.0,0.4,31.4,4.894,0.122,76,0,2.4,14.4,16.9,0.872,1.036,2782,186,74,74,1.200,1230,1188.9,1502.3,540.0,99.0,82.0,0.0,1.0,12.5,99.9,43.0,104.4,104.4,255,229,53,8.0,6,1,0.511,1.628,0,
13.2.2017,15:12:58.924,5039,4827,51.0,4693,3446,57.6,0.0,1.201,1.206,1.201,1.206,3599.9,3599.9,3599.9,3599.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,36,36,36,36,65,68,69,67,40,37,36,38,69,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,68,68,59,51.377,42.855,77.000,96.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,8.00,11,11,11,28,208,1,48,45,25,68,3.328,1.136,0.024,5.087,11.968,0.736,1.040,3.328,3.296,2024,2742,Yes,26,26,No,No,30,No,No,0.0,0.0,0.0,0.000,0.000,76,0,0.3,0.2,0.5,0.381,0.508,2783,187,75,74,1.200,1260,1188.9,1502.3,540.0,99.0,82.0,0.0,1.0,12.5,99.7,43.0,104.4,104.4,255,229,53,8.0,6,1,0.000,0.025,0,
13.2.2017,15:13:1.003,5042,4824,51.1,4691,3447,57.6,0.0,1.196,1.206,1.201,1.196,3599.9,3599.9,3599.9,3599.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,36,36,36,36,67,69,69,67,38,36,36,38,69,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,69,69,60,51.354,42.850,77.000,96.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,8.00,11,11,11,28,208,1,48,46,25,68,3.328,1.136,0.024,5.087,11.968,0.736,1.048,3.328,3.280,2035,2742,Yes,26,26,No,No,30,No,No,0.0,0.1,0.1,0.000,0.021,76,0,0.2,0.1,0.4,0.414,0.503,2784,188,75,75,1.200,1260,1188.9,1502.3,540.0,99.0,81.0,0.0,1.0,12.5,100.0,43.0,104.4,104.4,255,229,53,8.0,6,1,0.056,0.102,0,
13.2.2017,15:13:3.085,5042,4824,51.1,4692,3446,57.6,0.0,1.201,1.206,1.206,1.201,3599.8,3599.8,3599.8,3599.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,36,36,36,36,65,69,69,67,40,36,36,38,69,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,69,69,60,51.522,43.005,77.000,96.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,799.9,8.00,11,11,11,28,208,1,48,46,25,68,3.328,1.136,0.024,5.087,11.968,0.736,1.048,3.328,3.280,2029,2752,Yes,26,26,No,No,30,No,No,0.0,0.0,0.0,0.000,0.000,76,0,0.3,0.1,0.4,0.301,0.047,2784,189,76,75,1.200,1230,1188.9,1502.3,540.0,99.0,82.0,0.0,1.0,12.5,99.6,43.0,104.9,104.9,255,229,53,8.0,6,1,0.508,0.246,0,
13.2.2017,15:13:5.166,5042,4824,51.1,4693,3446,57.6,0.0,1.201,1.201,1.191,1.201,3599.8,3599.8,3599.8,3599.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,36,36,36,36,68,68,69,68,37,37,36,37,69,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,68,68,60,51.476,42.954,77.000,96.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,799.9,8.00,11,11,11,28,208,1,48,46,25,68,3.328,1.136,0.016,5.087,11.968,0.736,1.040,3.328,3.296,2029,2762,Yes,26,26,No,No,30,No,No,0.0,0.0,0.0,0.000,0.001,76,0,0.4,0.4,0.8,0.760,0.200,2786,189,77,76,1.200,1260,1188.9,1502.3,540.0,99.0,82.0,0.0,1.0,12.5,100.0,44.0,105.1,105.1,255,229,53,8.0,6,1,0.069,0.058,0,
13.2.2017,15:13:7.237,5041,4825,51.0,4691,3447,57.6,0.0,1.201,1.201,1.191,1.196,3599.9,3599.9,3599.9,3599.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,36,36,36,36,66,69,68,68,39,36,37,37,69,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,68,68,60,51.432,42.912,77.000,96.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,8.00,11,11,11,28,208,1,48,46,25,68,3.328,1.136,0.024,5.087,11.968,0.736,1.048,3.344,3.296,2035,2814,Yes,26,26,No,No,30,No,No,0.0,0.0,0.0,0.000,0.000,76,0,0.1,0.1,0.2,0.152,0.074,2786,189,77,77,1.200,1260,1188.9,1502.3,540.0,99.0,81.0,0.0,1.0,12.5,99.7,44.0,105.3,105.3,255,229,53,8.0,6,1,0.028,0.051,0,
13.2.2017,15:13:9.320,5040,4826,51.0,4691,3447,57.6,0.0,1.201,1.206,1.201,1.201,3599.9,3599.9,3599.9,3599.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,36,36,36,36,67,70,69,68,38,35,36,37,70,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,70,70,61,51.405,42.894,77.000,96.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,8.00,11,11,11,28,208,1,48,46,25,69,3.328,1.144,0.024,5.087,11.968,0.736,1.040,3.328,3.296,2024,2742,Yes,26,26,No,No,30,No,No,0.0,0.0,0.0,0.000,0.000,76,0,0.3,0.8,1.1,0.143,0.212,2786,190,78,78,1.200,1260,1188.9,1502.3,540.0,99.0,82.0,0.0,1.0,12.4,100.0,44.0,105.7,105.7,253,227,53,8.0,6,1,0.056,0.101,0,
13.2.2017,15:13:11.400,5040,4826,51.0,4691,3448,57.6,0.0,1.206,1.191,1.206,1.196,3600.1,3600.1,3600.1,3600.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,36,36,36,36,66,70,70,68,39,35,35,37,70,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,69,69,60,51.600,43.059,77.000,96.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,8.00,11,11,11,28,208,1,48,46,25,69,3.328,1.136,0.024,5.087,11.968,0.736,1.048,3.328,3.280,2040,2814,Yes,26,26,No,No,30,No,No,0.0,0.0,0.0,0.000,0.005,76,0,0.2,0.0,0.2,0.154,0.030,2787,190,79,78,1.200,1260,1188.9,1502.3,540.0,99.0,82.0,0.0,1.0,12.4,98.2,45.0,105.2,105.2,253,227,53,8.0,6,1,0.338,0.278,0,
