Date,Time,"Virtual Memory Commited [MB]","Virtual Memory Available [MB]","Virtual Memory Load [%]","Physical Memory Used [MB]","Physical Memory Available [MB]","Physical Memory Load [%]","Page File Usage [%]","Core #0 VID [V]","Core #1 VID [V]","Core #2 VID [V]","Core #3 VID [V]","NB VID [V]","Core #0 Clock [MHz]","Core #1 Clock [MHz]","Core #2 Clock [MHz]","Core #3 Clock [MHz]","Bus Clock [MHz]","NB Clock [MHz]","Core #0 Usage [%]","Core #1 Usage [%]","Core #2 Usage [%]","Core #3 Usage [%]","Max CPU/Thread Usage [%]","Total CPU Usage [%]","Core #0 Ratio [x]","Core #1 Ratio [x]","Core #2 Ratio [x]","Core #3 Ratio [x]","NB Ratio [x]","Memory Clock [MHz]","Memory Clock Ratio [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trc [T]","CPU (Tctl) [°C]","CPU Package [°C]","Core Voltage [V]","NB Voltage [V]","Core Current [A]","NB Current [A]","Core Power [W]","NB Power [W]","CPU Total Power [W]","T1 [°C]","Auxiliary [°C]","Motherboard [°C]","VCC3V [V]","Vcore [V]","VIN2 [V]","VIN3 [V]","VIN4 [V]","VIN5 [V]","VIN6 [V]","3VSB [V]","VBAT [V]","Fan1 [RPM]","Chassis Intrusion [Yes/No]","Drive Temperature [°C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","GPU Temperature [°C]","GPU Temperature (HW) [°C]","GPU Core Voltage [V]","GPU Fan [RPM]","GPU Power [W]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU Video Clock [MHz]","GPU Core Load [%]","GPU Memory Controller Load [%]","GPU Video Engine Load [%]","GPU Bus Load [%]","GPU Memory Usage [%]","GPU D3D Usage [%]","GPU Fan [%]","Total GPU Power (normalized) [% of TDP] [%]","Total GPU Power [% of TDP] [%]","GPU Memory Allocated [MB]","GPU D3D Memory Dedicated [MB]","GPU D3D Memory Dynamic [MB]","PCIe Link Speed [GT/s]","Total DL [MB]","Total UP [MB]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total Errors []",
13.2.2017,19:22:34.301,4571,14333,24.1,4331,3821,53.1,0.0,1.400,1.400,1.400,1.400,1.200,3793.3,3793.3,3793.3,3793.3,99.8,1796.8,100.0,100.0,100.0,100.0,100.0,100.0,38.0,38.0,38.0,38.0,18.0,931.7,9.33,10,11,10,30,42,64.1,113.1,1.300,1.163,83.529,5.647,108.588,6.565,115.153,58,72,27,3.328,1.344,1.496,0.960,1.088,1.096,1.120,3.344,3.312,1702,No,35,No,No,6.5,2.5,9.0,0.170,1.676,1814,448,37,37,0.993,1760,33.898,1058.4,1350.0,952.9,99.0,79.0,0.0,0.0,6.0,98.8,39.0,73.4,73.4,247,189,51,5.0,0,0,36,5,2.175,0.000,0,
13.2.2017,19:22:34.643,4569,14334,24.1,4331,3821,53.1,0.0,1.400,1.238,1.400,1.313,1.200,3793.3,3194.4,3793.3,3593.6,99.8,1796.8,100.0,100.0,100.0,100.0,100.0,100.0,38.0,32.0,38.0,36.0,18.0,931.7,9.33,10,11,10,30,42,64.1,113.1,1.300,1.163,77.647,5.647,100.941,6.565,107.506,58,72,27,3.328,1.320,1.496,0.960,1.080,1.104,1.120,3.328,3.328,1698,No,35,No,No,0.0,0.0,0.0,0.000,0.000,1814,448,40,40,1.068,1756,47.085,1176.2,1350.0,1058.2,98.0,82.0,0.0,0.0,6.0,100.0,39.0,101.9,101.9,245,187,51,5.0,0,0,36,5,0.000,0.000,0,
13.2.2017,19:22:34.985,4569,14334,24.1,4331,3821,53.1,0.0,1.400,1.313,1.400,1.238,1.200,3793.3,3593.6,3793.3,3194.4,99.8,1796.8,100.0,100.0,100.0,100.0,100.0,100.0,38.0,36.0,38.0,32.0,18.0,931.7,9.33,10,11,10,30,42,64.1,113.1,1.300,1.150,82.941,6.824,107.824,7.847,115.671,58,72,27,3.328,1.320,1.496,0.960,1.080,1.104,1.120,3.328,3.312,1702,No,35,No,No,0.0,0.0,0.0,0.000,0.000,1814,448,42,42,1.087,1752,45.966,1188.9,1350.0,1070.4,98.0,83.0,0.0,0.0,6.0,97.3,39.0,99.5,99.5,245,187,51,5.0,0,0,36,5,0.000,0.000,0,
13.2.2017,19:22:35.315,4569,14334,24.1,4331,3821,53.1,0.0,1.400,1.400,1.313,1.400,1.200,3793.3,3793.3,3593.6,3793.3,99.8,1796.8,100.0,100.0,100.0,100.0,100.0,100.0,38.0,38.0,36.0,38.0,18.0,931.7,9.33,10,11,10,30,42,64.1,113.1,1.238,1.163,74.706,5.647,92.449,6.565,99.013,58,72,27,3.344,1.320,1.496,0.960,1.088,1.096,1.120,3.328,3.312,1698,No,35,No,No,0.0,0.0,0.0,0.000,0.000,1814,448,43,43,1.068,1756,44.067,1176.2,1350.0,1058.2,98.0,82.0,0.0,0.0,6.0,96.2,39.0,95.4,95.4,245,187,51,5.0,0,0,36,5,0.000,0.000,0,
13.2.2017,19:22:35.645,4569,14334,24.1,4331,3821,53.1,0.0,1.238,1.400,1.313,1.400,1.200,3194.4,3793.3,3593.6,3793.3,99.8,1796.8,100.0,100.0,100.0,100.0,100.0,100.0,32.0,38.0,36.0,38.0,18.0,931.7,9.33,10,11,10,30,42,64.1,113.1,1.325,1.156,71.765,6.118,95.088,7.074,102.162,58,72,27,3.344,1.312,1.496,0.960,1.080,1.104,1.120,3.328,3.312,1702,No,35,No,No,0.0,4.5,4.5,0.000,0.363,1814,448,44,44,1.068,1757,44.729,1176.2,1350.0,1058.2,98.0,82.0,0.0,0.0,6.0,96.7,39.0,96.8,96.8,245,187,51,5.0,0,0,36,5,0.000,0.000,0,
13.2.2017,19:22:35.941,4569,14334,24.1,4331,3821,53.1,0.0,1.313,1.400,1.400,1.400,1.200,3593.6,3793.3,3793.3,3793.3,99.8,1796.8,100.0,100.0,100.0,100.0,100.0,100.0,36.0,38.0,38.0,38.0,18.0,931.7,9.33,10,11,10,30,42,64.1,113.1,1.300,1.156,85.294,5.647,110.882,6.529,117.412,58,72,27,3.328,1.320,1.496,0.960,1.088,1.096,1.120,3.328,3.312,1706,No,35,No,No,0.0,0.0,0.0,0.000,0.000,1814,448,44,44,1.068,1760,44.674,1176.2,1350.0,1058.2,98.0,82.0,0.0,0.0,6.0,100.0,39.0,96.7,96.7,245,187,51,5.0,0,0,36,5,0.000,0.000,0,
13.2.2017,19:22:36.247,4569,14335,24.1,4331,3821,53.1,0.0,1.238,1.400,1.400,1.400,1.200,3194.3,3793.2,3793.2,3793.2,99.8,1796.8,100.0,100.0,100.0,100.0,100.0,100.0,32.0,38.0,38.0,38.0,18.0,931.7,9.33,10,11,10,30,42,64.1,113.1,1.300,1.163,84.118,5.882,109.353,6.838,116.191,58,72,27,3.344,1.328,1.496,0.960,1.088,1.104,1.120,3.328,3.328,1706,No,35,No,No,0.0,0.0,0.0,0.000,0.000,1814,448,45,45,1.087,1758,45.382,1188.9,1350.0,1070.4,98.0,83.0,0.0,0.0,5.9,100.0,39.0,98.2,98.2,243,186,51,5.0,0,0,36,5,1.209,0.000,0,
13.2.2017,19:22:36.577,4569,14335,24.1,4331,3821,53.1,0.0,1.400,1.400,1.400,1.400,1.200,3793.2,3793.2,3793.2,3793.2,99.8,1796.8,100.0,100.0,100.0,100.0,100.0,100.0,38.0,38.0,38.0,38.0,18.0,931.7,9.33,10,11,10,30,42,64.1,113.1,1.313,1.156,79.412,6.588,104.228,7.618,111.846,58,72,27,3.344,1.320,1.496,0.960,1.088,1.104,1.120,3.328,3.312,1702,No,35,No,No,0.0,0.0,0.0,0.000,0.000,1814,448,45,45,1.068,1762,44.231,1176.2,1350.0,1058.2,98.0,82.0,0.0,0.0,6.0,93.2,39.0,95.7,95.7,245,187,51,5.0,0,0,36,5,0.732,0.000,0,
13.2.2017,19:22:36.920,4569,14335,24.1,4331,3821,53.1,0.0,1.400,1.400,1.313,1.400,1.200,3793.2,3793.2,3593.5,3793.2,99.8,1796.8,100.0,100.0,100.0,100.0,100.0,100.0,38.0,38.0,36.0,38.0,18.0,931.7,9.33,10,11,10,30,42,64.1,113.1,1.188,1.163,60.588,5.647,71.949,6.565,78.513,58,72,27,3.344,1.336,1.496,0.960,1.088,1.104,1.120,3.328,3.328,1702,No,35,No,No,0.0,7.6,7.6,0.000,0.179,1814,448,46,46,1.087,1761,43.882,1188.9,1350.0,1070.4,98.0,82.0,0.0,0.0,6.0,100.0,39.0,95.0,95.0,245,187,51,5.0,0,0,36,5,0.757,0.000,0,
13.2.2017,19:22:37.232,4568,14335,24.1,4330,3821,53.1,0.0,1.400,1.400,1.238,1.313,1.200,3793.2,3793.2,3194.3,3593.5,99.8,1796.8,100.0,100.0,100.0,100.0,100.0,100.0,38.0,38.0,32.0,36.0,18.0,931.7,9.33,10,11,10,30,42,64.1,113.1,1.300,1.163,80.000,5.647,104.000,6.565,110.565,58,72,27,3.328,1.328,1.496,0.960,1.088,1.104,1.120,3.344,3.312,1702,No,35,No,No,0.0,0.0,0.0,0.000,0.000,1814,448,46,46,1.068,1754,43.851,1176.2,1350.0,1058.2,98.0,82.0,0.0,0.0,6.0,99.6,39.0,94.9,94.9,245,187,51,5.0,0,0,36,5,0.830,0.000,0,
