Date,Time,"Virtual Memory Commited [MB]","Virtual Memory Available [MB]","Virtual Memory Load [%]","Physical Memory Used [MB]","Physical Memory Available [MB]","Physical Memory Load [%]","Page File Usage [%]","Core #0 VID [V]","Core #1 VID [V]","Core #2 VID [V]","Core #3 VID [V]","NB VID [V]","Core #0 Clock [MHz]","Core #1 Clock [MHz]","Core #2 Clock [MHz]","Core #3 Clock [MHz]","Bus Clock [MHz]","NB Clock [MHz]","Core #0 Usage [%]","Core #1 Usage [%]","Core #2 Usage [%]","Core #3 Usage [%]","Max CPU/Thread Usage [%]","Total CPU Usage [%]","Core #0 Ratio [x]","Core #1 Ratio [x]","Core #2 Ratio [x]","Core #3 Ratio [x]","NB Ratio [x]","Memory Clock [MHz]","Memory Clock Ratio [x]","Tcas [T]","Trcd [T]","Trp [T]","Tras [T]","Trc [T]","CPU (Tctl) [°C]","CPU Package [°C]","Core Voltage [V]","NB Voltage [V]","Core Current [A]","NB Current [A]","Core Power [W]","NB Power [W]","CPU Total Power [W]","T1 [°C]","Auxiliary [°C]","Motherboard [°C]","VCC3V [V]","Vcore [V]","VIN2 [V]","VIN3 [V]","VIN4 [V]","VIN5 [V]","VIN6 [V]","3VSB [V]","VBAT [V]","Fan1 [RPM]","Chassis Intrusion [Yes/No]","Drive Temperature [°C]","Drive Failure [Yes/No]","Drive Warning [Yes/No]","Read Activity [%]","Write Activity [%]","Total Activity [%]","Read Rate [MB/s]","Write Rate [MB/s]","Read Total [MB]","Write Total [MB]","GPU Temperature [°C]","GPU Temperature (HW) [°C]","GPU Core Voltage [V]","GPU Fan [RPM]","GPU Power [W]","GPU Clock [MHz]","GPU Memory Clock [MHz]","GPU Video Clock [MHz]","GPU Core Load [%]","GPU Memory Controller Load [%]","GPU Video Engine Load [%]","GPU Bus Load [%]","GPU Memory Usage [%]","GPU D3D Usage [%]","GPU Fan [%]","Total GPU Power (normalized) [% of TDP] [%]","Total GPU Power [% of TDP] [%]","GPU Memory Allocated [MB]","GPU D3D Memory Dedicated [MB]","GPU D3D Memory Dynamic [MB]","PCIe Link Speed [GT/s]","Total DL [MB]","Total UP [MB]","Total DL [MB]","Total UP [MB]","Current DL rate [KB/s]","Current UP rate [KB/s]","Total Errors []",
13.2.2017,17:49:23.067,4939,13965,26.1,4436,3715,54.4,1.6,1.400,1.400,1.313,1.400,1.200,3805.0,3805.0,3604.7,3805.0,100.1,1802.4,100.0,100.0,100.0,100.0,100.0,100.0,38.0,38.0,36.0,38.0,18.0,934.6,9.33,10,11,10,30,42,67.0,116.0,1.300,1.156,81.765,5.882,106.294,6.801,113.096,61,78,28,3.328,1.320,1.496,0.960,1.080,1.104,1.120,3.328,3.328,1529,No,39,No,No,3.8,0.0,3.8,0.026,0.013,28464,3272,39,39,1.068,1764,43.821,1176.2,1350.0,1058.2,99.0,86.0,0.0,0.0,7.5,88.3,39.0,94.9,94.9,308,251,54,5.0,0,0,100,9,0.000,0.424,0,
13.2.2017,17:49:23.415,4938,13966,26.1,4436,3716,54.4,1.6,1.313,1.400,1.238,1.400,1.200,3604.7,3805.0,3204.2,3805.0,100.1,1802.4,100.0,100.0,100.0,100.0,100.0,100.0,36.0,38.0,32.0,38.0,18.0,934.6,9.33,10,11,10,30,42,67.0,116.0,1.306,1.156,79.412,5.647,103.732,6.529,110.261,61,78,28,3.328,1.320,1.496,0.960,1.088,1.096,1.128,3.344,3.312,1519,No,39,No,No,0.0,0.0,0.0,0.000,0.000,28464,3272,41,41,1.068,1760,45.042,1176.2,1350.0,1058.2,98.0,81.0,0.0,0.0,7.5,100.0,39.0,97.5,97.5,308,251,54,5.0,0,0,100,9,0.170,0.000,0,
13.2.2017,17:49:23.728,4938,13966,26.1,4436,3716,54.4,1.6,1.400,1.313,1.400,1.313,1.200,3805.0,3604.7,3805.0,3604.7,100.1,1802.4,100.0,100.0,100.0,100.0,100.0,100.0,38.0,36.0,38.0,36.0,18.0,934.6,9.33,10,11,10,30,42,67.1,116.1,1.294,1.163,84.118,5.647,108.827,6.565,115.392,61,78,28,3.344,1.312,1.496,0.960,1.088,1.104,1.120,3.328,3.312,1519,No,39,No,No,0.0,0.0,0.0,0.000,0.000,28464,3272,42,42,1.068,1754,44.906,1176.2,1350.0,1058.2,98.0,81.0,0.0,0.0,7.5,96.3,39.0,97.2,97.2,308,251,54,5.0,0,0,100,9,0.000,0.000,0,
13.2.2017,17:49:24.046,4937,13966,26.1,4436,3716,54.4,1.6,1.313,1.400,1.400,1.400,1.200,3604.7,3805.0,3805.0,3805.0,100.1,1802.4,100.0,100.0,100.0,100.0,100.0,100.0,36.0,38.0,38.0,38.0,18.0,934.6,9.33,10,11,10,30,42,67.0,116.0,1.238,1.156,74.706,6.353,92.449,7.346,99.794,61,78,28,3.328,1.320,1.496,0.960,1.088,1.104,1.120,3.328,3.312,1519,No,39,No,No,0.0,0.1,0.1,0.000,0.399,28464,3272,43,43,1.068,1754,44.242,1176.2,1350.0,1058.2,98.0,82.0,0.0,0.0,7.5,100.0,39.0,97.8,97.8,308,251,54,5.0,0,0,100,9,0.000,0.000,0,
13.2.2017,17:49:24.383,4937,13966,26.1,4436,3716,54.4,1.6,1.313,1.400,1.313,1.400,1.200,3604.7,3805.0,3604.7,3805.0,100.1,1802.4,100.0,100.0,100.0,100.0,100.0,100.0,36.0,38.0,36.0,38.0,18.0,934.6,9.33,10,11,10,30,42,67.0,116.0,1.250,1.163,60.000,5.647,75.000,6.565,81.565,62,78,28,3.328,1.320,1.496,0.960,1.088,1.104,1.120,3.328,3.328,1522,No,39,No,No,0.0,8.0,8.0,0.000,0.170,28464,3272,44,44,1.068,1752,45.010,1176.2,1350.0,1058.2,98.0,82.0,0.0,0.0,7.5,99.8,39.0,97.4,97.4,306,249,54,5.0,0,0,100,9,0.000,0.000,0,
13.2.2017,17:49:24.711,4937,13966,26.1,4436,3716,54.4,1.6,1.400,1.400,1.313,1.400,1.200,3793.3,3793.3,3593.6,3793.3,99.8,1796.8,100.0,100.0,100.0,100.0,100.0,100.0,38.0,38.0,36.0,38.0,18.0,931.7,9.33,10,11,10,30,42,66.9,115.9,1.294,1.156,89.412,6.588,115.676,7.618,123.294,62,78,28,3.328,1.320,1.496,0.960,1.088,1.104,1.120,3.344,3.312,1522,No,39,No,No,0.0,0.0,0.0,0.000,0.000,28464,3272,45,45,1.068,1752,45.373,1176.2,1350.0,1058.2,98.0,82.0,0.0,0.0,7.5,100.0,39.0,98.2,98.2,306,249,54,5.0,0,0,100,9,0.000,0.000,0,
13.2.2017,17:49:25.001,4937,13966,26.1,4436,3716,54.4,1.6,1.400,1.313,1.313,1.400,1.200,3793.3,3593.6,3593.6,3793.3,99.8,1796.8,100.0,100.0,100.0,100.0,100.0,100.0,38.0,36.0,36.0,38.0,18.0,931.7,9.33,10,11,10,30,42,66.9,115.9,1.325,1.163,68.235,6.353,90.412,7.385,97.797,62,78,28,3.328,1.320,1.496,0.960,1.088,1.104,1.120,3.328,3.328,1516,No,39,No,No,0.0,0.0,0.0,0.000,0.000,28464,3272,45,45,1.056,1758,46.231,1163.2,1350.0,1046.3,98.0,81.0,0.0,0.0,7.5,97.0,39.0,100.1,100.1,306,249,54,5.0,0,0,100,9,0.000,0.000,0,
13.2.2017,17:49:25.338,4933,13970,26.0,4435,3717,54.4,1.6,1.400,1.238,1.400,1.313,1.200,3793.3,3194.3,3793.3,3593.6,99.8,1796.8,100.0,100.0,100.0,100.0,100.0,100.0,38.0,32.0,38.0,36.0,18.0,931.7,9.33,10,11,10,30,42,66.8,115.8,1.306,1.150,74.706,6.353,97.585,7.306,104.890,62,79,28,3.328,1.320,1.496,0.960,1.088,1.096,1.120,3.328,3.328,1522,No,39,No,No,0.0,0.0,0.0,0.000,0.000,28464,3272,46,46,1.068,1756,45.340,1176.2,1350.0,1058.2,98.0,82.0,0.0,0.0,7.5,100.0,39.0,96.9,96.9,306,249,54,5.0,0,0,100,9,0.000,0.000,0,
13.2.2017,17:49:25.666,4934,13969,26.1,4435,3717,54.4,1.6,1.238,1.400,1.313,1.400,1.200,3194.3,3793.3,3593.6,3793.3,99.8,1796.8,100.0,100.0,100.0,100.0,100.0,100.0,32.0,38.0,36.0,38.0,18.0,931.7,9.33,10,11,10,30,42,66.8,115.8,1.244,1.156,65.882,6.118,81.941,7.074,89.015,62,79,28,3.344,1.312,1.496,0.960,1.088,1.104,1.120,3.328,3.328,1516,No,39,No,No,0.0,0.2,0.2,0.000,0.112,28464,3272,46,46,1.068,1755,45.773,1176.2,1350.0,1058.2,98.0,82.0,0.0,0.0,7.5,95.0,39.0,97.9,97.9,306,249,55,5.0,0,0,100,9,0.000,0.000,0,
13.2.2017,17:49:25.994,4934,13969,26.1,4435,3717,54.4,1.6,1.400,1.400,1.313,1.400,1.200,3793.3,3793.3,3593.6,3793.3,99.8,1796.8,100.0,100.0,100.0,100.0,100.0,100.0,38.0,38.0,36.0,38.0,18.0,931.7,9.33,10,11,10,30,42,66.9,115.9,1.238,1.163,74.706,6.588,92.449,7.659,100.107,62,79,28,3.328,1.320,1.496,0.960,1.088,1.096,1.120,3.344,3.312,1522,No,39,No,No,0.0,0.0,0.0,0.000,0.000,28464,3272,47,47,1.068,1760,44.688,1176.2,1350.0,1058.2,98.0,81.0,0.0,0.0,7.5,99.0,39.0,96.7,96.7,306,249,55,5.0,0,0,100,9,0.000,0.000,0,
